#  aims_uuid : FC4C6232-86DC-4120-AF99-B9F3EEEC41A6                                
# Angular momentum resolved density for species Sas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -8.61861862       19.32537830        0.23119236       17.47498147        1.33980567        0.24251907        0.03687972
       -8.59859860       20.24456153        0.23481949       18.28343192        1.43032424        0.25702473        0.03896115
       -8.57857858       21.36121198        0.24193201       19.27529760        1.53028187        0.27254094        0.04115956
       -8.55855856       22.60310954        0.25244337       20.38537837        1.63410315        0.28790505        0.04327960
       -8.53853854       23.89513975        0.26613846       21.54547048        1.73627618        0.30209690        0.04515772
       -8.51851852       25.16270188        0.28257898       22.68750599        1.83159715        0.31433662        0.04668314
       -8.49849850       26.33495934        0.30104119       23.74660258        1.91536878        0.32413718        0.04780961
       -8.47847848       27.34873152        0.32053141       24.66473447        1.98360015        0.33130936        0.04855612
       -8.45845846       28.15345759        0.33990404       25.39538845        2.03324275        0.33592548        0.04899686
       -8.43843844       28.71695200        0.35807420       25.90891545        2.06246376        0.33825553        0.04924306
       -8.41841842       29.03088302        0.37428164       26.19757409        2.07091349        0.33869283        0.04942098
       -8.39839840       29.11438191        0.38833787       26.27880026        2.05990673        0.33768583        0.04965123
       -8.37837838       29.01421646        0.40078509       26.19528384        2.03242596        0.33568769        0.05003387
       -8.35835836       28.80064210        0.41291635       26.01107589        1.99287905        0.33312890        0.05064191
       -8.33833834       28.55921375        0.42664621       25.80403018        1.94660294        0.33041086        0.05152356
       -8.31831832       28.38010817        0.44426590       25.65603632        1.89918181        0.32791307        0.05271108
       -8.29829830       28.34738377        0.46815049       25.64328315        1.85571335        0.32600457        0.05423221
       -8.27827828       28.53071913        0.50049610       25.82886816        1.82018495        0.32505010        0.05611982
       -8.25825826       28.98143105        0.54314972       26.25936436        1.79509607        0.32540495        0.05841595
       -8.23823824       29.73321271        0.59755922       26.96569773        1.78139138        0.32739590        0.06116848
       -8.21821822       30.80652212        0.66482924       27.96730607        1.77867567        0.33129045        0.06442069
       -8.19819820       32.21440030        0.74583260       29.27751045        1.78560081        0.33725993        0.06819651
       -8.17817818       33.96706537        0.84130701       30.90765337        1.80027588        0.34534384        0.07248527
       -8.15815816       36.07301996        0.95186456       32.86793401        1.82056853        0.35542296        0.07722991
       -8.13813814       38.53548571        1.07786004       35.16386967        1.84422815        0.36720639        0.08232147
       -8.11811812       41.34445052        1.21909895       37.78866861        1.86884704        0.38023492        0.08760101
       -8.09809810       44.46613183        1.37441540       40.71319666        1.89175049        0.39390099        0.09286829
       -8.07807808       47.83287968        1.54120627       43.87634866        1.90994406        0.40748491        0.09789578
       -8.05805806       51.33714674        1.71505762       47.17920244        1.92023288        0.42020727        0.10244653
       -8.03803804       54.83287790        1.88962339       50.48609460        1.91956669        0.43129852        0.10629469
       -8.01801802       58.14638645        2.05689716       53.63458066        1.90557691        0.44008409        0.10924764
       -7.99799800       61.09658914        2.20794311       56.45421225        1.87718676        0.44607865        0.11116836
       -7.97797798       63.52178440        2.33403343       58.79155639        1.83512378        0.44907565        0.11199515
       -7.95795796       65.30767789        2.42800242       60.53654542        1.78216397        0.44921133        0.11175475
       -7.93793794       66.40991076        2.48551881       61.64385458        1.72299190        0.44698107        0.11056439
       -7.91791792       66.86460291        2.50594094       62.14319752        1.66365420        0.44319088        0.10861937
       -7.89789790       66.78263330        2.49248230       62.13445921        1.61068592        0.43884032        0.10616555
       -7.87787788       66.32719113        2.45157346       61.76713688        1.57007053        0.43495014        0.10346012
       -7.85785786       65.67861471        2.39152176       61.20776781        1.54623276        0.43236491        0.10072747
       -7.83783784       64.99439961        2.32077685       60.60267702        1.54125444        0.43157171        0.09811959
       -7.81781782       64.37424133        2.24623985       60.04527831        1.55445581        0.43257699        0.09569038
       -7.79779780       63.83926830        2.17205622       59.55653313        1.58241419        0.43487404        0.09339071
       -7.77777778       63.33119946        2.09920092       59.08398290        1.61941486        0.43751436        0.09108642
       -7.75775776       62.73189511        2.02593628       58.51983339        1.65825754        0.43927223        0.08859567
       -7.73773774       61.89820295        1.94897212       57.73334040        1.69128354        0.43886950        0.08573739
       -7.71771772       60.70285690        1.86496502       56.60884951        1.71145112        0.43521217        0.08237907
       -7.69769770       59.07075689        1.77191984       55.07949926        1.71327772        0.42758711        0.07847297
