#  aims_uuid : FC4C6232-86DC-4120-AF99-B9F3EEEC41A6                                
# Angular momentum resolved density for species Has calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.845704 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
       -3.23237435        0.00980607        0.00265436        0.00634368        0.00080803
       -3.21235433        0.00960720        0.00272083        0.00611308        0.00077330
       -3.19233431        0.00952381        0.00279246        0.00598140        0.00074995
       -3.17231429        0.00954934        0.00286453        0.00594710        0.00073771
       -3.15229427        0.00967357        0.00293211        0.00600545        0.00073601
       -3.13227425        0.00988164        0.00299079        0.00614705        0.00074380
       -3.11225423        0.01015419        0.00303737        0.00635734        0.00075948
       -3.09223421        0.01046872        0.00307031        0.00661743        0.00078098
       -3.07221419        0.01080185        0.00308984        0.00690603        0.00080598
       -3.05219417        0.01113205        0.00309766        0.00720220        0.00083219
       -3.03217415        0.01144190        0.00309619        0.00748805        0.00085767
       -3.01215413        0.01171937        0.00308764        0.00775074        0.00088099
       -2.99213411        0.01195784        0.00307315        0.00798330        0.00090139
       -2.97211409        0.01215477        0.00305215        0.00818399        0.00091863
       -2.95209407        0.01230966        0.00302227        0.00835454        0.00093286
       -2.93207405        0.01242172        0.00297982        0.00849761        0.00094429
       -2.91205403        0.01248804        0.00292076        0.00861432        0.00095295
       -2.89203401        0.01250281        0.00284189        0.00870240        0.00095853
       -2.87201399        0.01245770        0.00274190        0.00875556        0.00096023
       -2.85199397        0.01234340        0.00262218        0.00876427        0.00095695
       -2.83197395        0.01215192        0.00248685        0.00871764        0.00094743
       -2.81195393        0.01187898        0.00234238        0.00860603        0.00093057
       -2.79193391        0.01152591        0.00219660        0.00842363        0.00090569
       -2.77191389        0.01110058        0.00205754        0.00817026        0.00087278
       -2.75189387        0.01061707        0.00193240        0.00785213        0.00083253
       -2.73187385        0.01009422        0.00182666        0.00748125        0.00078630
       -2.71185383        0.00955330        0.00174367        0.00707369        0.00073594
       -2.69183381        0.00901543        0.00168462        0.00664728        0.00068352
       -2.67181379        0.00849921        0.00164882        0.00621929        0.00063110
       -2.65179377        0.00801908        0.00163413        0.00580447        0.00058047
       -2.63177375        0.00758458        0.00163755        0.00541398        0.00053306
       -2.61175373        0.00720055        0.00165569        0.00505507        0.00048979
       -2.59173371        0.00686796        0.00168525        0.00473152        0.00045119
       -2.57171369        0.00658507        0.00172336        0.00444434        0.00041737
       -2.55169367        0.00634854        0.00176781        0.00419258        0.00038815
       -2.53167365        0.00615420        0.00181712        0.00397395        0.00036313
       -2.51165363        0.00599743        0.00187054        0.00378512        0.00034177
       -2.49163361        0.00587318        0.00192785        0.00362188        0.00032344
       -2.47161359        0.00577584        0.00198907        0.00347928        0.00030749
       -2.45159357        0.00569915        0.00205412        0.00335177        0.00029326
       -2.43157355        0.00563629        0.00212252        0.00323362        0.00028015
       -2.41155353        0.00558030        0.00219321        0.00311945        0.00026763
       -2.39153351        0.00552464        0.00226449        0.00300480        0.00025535
       -2.37151349        0.00546393        0.00233418        0.00288669        0.00024306
       -2.35149347        0.00539448        0.00239992        0.00276384        0.00023073
       -2.33147345        0.00531467        0.00245958        0.00263664        0.00021845
       -2.31145343        0.00522493        0.00251163        0.00250685        0.00020645
       -2.29143341        0.00512750        0.00255541        0.00237706        0.00019504
       -2.27141339        0.00502588        0.00259127        0.00225010        0.00018452
       -2.25139337        0.00492422        0.00262044        0.00212862        0.00017516
       -2.23137335        0.00482668        0.00264475        0.00201478        0.00016716
       -2.21135333        0.00473694        0.00266609        0.00191025        0.00016060
       -2.19133331        0.00465772        0.00268591        0.00181631        0.00015550
       -2.17131329        0.00459050        0.00270466        0.00173406        0.00015178
       -2.15129327        0.00453523        0.00272144        0.00166449        0.00014930
       -2.13127325        0.00449019        0.00273384        0.00160842        0.00014793
       -2.11125323        0.00445200        0.00273821        0.00156632        0.00014748
       -2.09123321        0.00441578        0.00273014        0.00153788        0.00014776
       -2.07121319        0.00437560        0.00270529        0.00152176        0.00014854
       -2.05119317        0.00432524        0.00266023        0.00151544        0.00014957
       -2.03117315        0.00425910        0.00259324        0.00151530        0.00015055
       -2.01115313        0.00417311        0.00250483        0.00151709        0.00015118
       -1.99113311        0.00406557        0.00239783        0.00151657        0.00015118
       -1.97111309        0.00393763        0.00227711        0.00151020        0.00015033
       -1.95109307        0.00379331        0.00214896        0.00149582        0.00014853
       -1.93107305        0.00363905        0.00202019        0.00147305        0.00014581
       -1.91105303        0.00348288        0.00189725        0.00144328        0.00014235
       -1.89103301        0.00333325        0.00178547        0.00140937        0.00013842
       -1.87101299        0.00319781        0.00168846        0.00137498        0.00013437
       -1.85099297        0.00308221        0.00160785        0.00134383        0.00013053
       -1.83097295        0.00298921        0.00154324        0.00131879        0.00012718
       -1.81095293        0.00291830        0.00149248        0.00130138        0.00012444
       -1.79093291        0.00286582        0.00145210        0.00129140        0.00012231
       -1.77091289        0.00282566        0.00141796        0.00128705        0.00012065
       -1.75089287        0.00279049        0.00138594        0.00128536        0.00011919
       -1.73087285        0.00275326        0.00135264        0.00128296        0.00011765
       -1.71085283        0.00270860        0.00131598        0.00127682        0.00011580
       -1.69083281        0.00265393        0.00127553        0.00126492        0.00011349
       -1.67081279        0.00258983        0.00123250        0.00124666        0.00011067
       -1.65079277        0.00251976        0.00118947        0.00122285        0.00010744
       -1.63077275        0.00244900        0.00114970        0.00119533        0.00010397
