# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
    -10.00000000    196.77738037
     -9.97997998    207.21179956
     -9.95995996    215.48605247
     -9.93993994    221.18481730
     -9.91991992    224.00081230
     -9.89989990    223.78091727
     -9.87987988    220.55438742
     -9.85985986    214.53575883
     -9.83983984    206.10121705
     -9.81981982    195.74376759
     -9.79979980    184.01739869
     -9.77977978    171.48208290
     -9.75975976    158.65961753
     -9.73973974    146.00589145
     -9.71971972    133.89993987
     -9.69969970    122.64594483
     -9.67967968    112.48236988
     -9.65965966    103.59287541
     -9.63963964     96.11578920
     -9.61961962     90.15143864
     -9.59959960     85.76841798
     -9.57957958     83.01026798
     -9.55955956     81.90321727
     -9.53953954     82.46424364
     -9.51951952     84.70754937
     -9.49949950     88.64712127
     -9.47947948     94.29342076
     -9.45945946    101.64312935
     -9.43943944    110.66192224
     -9.41941942    121.26134037
     -9.39939940    133.27212823
     -9.37937938    146.41807856
     -9.35935936    160.29632102
     -9.33933934    174.37140583
     -9.31931932    187.99037231
     -9.29929930    200.42330906
     -9.27927928    210.92858020
     -9.25925926    218.83500977
     -9.23923924    223.62703672
     -9.21921922    225.01560924
     -9.19919920    222.97903133
     -9.17917918    217.76414766
     -9.15915916    209.84742449
     -9.13913914    199.86477699
     -9.11911912    188.52551102
     -9.09909910    176.52769086
     -9.07907908    164.48950172
     -9.05905906    152.90519141
     -9.03903904    142.12722295
     -9.01901902    132.37051874
     -8.99899900    123.73147084
     -8.97897898    116.21396083
     -8.95895896    109.75627609
     -8.93893894    104.25534611
     -8.91891892     99.58701853
     -8.89889890     95.62244530
     -8.87887888     92.24094202
     -8.85885886     89.33930601
     -8.83883884     86.83714837
     -8.81881882     84.67782196
     -8.79879880     82.82516121
     -8.77877878     81.25722808
     -8.75875876     79.95907035
     -8.73873874     78.91668140
     -8.71871872     78.11374921
     -8.69869870     77.53162882
     -8.67867868     77.15175978
     -8.65865866     76.95896489
     -8.63863864     76.94395999
     -8.61861862     77.10390686
     -8.59859860     77.44064807
     -8.57857858     77.95702835
     -8.55855856     78.65220608
     -8.53853854     79.51704720
     -8.51851852     80.53065416
     -8.49849850     81.65891536
     -8.47847848     82.85570399
     -8.45845846     84.06698582
     -8.43843844     85.23759011
     -8.41841842     86.31980943
     -8.39839840     87.28247702
     -8.37837838     88.11892234
     -8.35835836     88.85237020
     -8.33833834     89.53791819
     -8.31831832     90.26103206
     -8.29829830     91.13326398
     -8.27827828     92.28636618
     -8.25825826     93.86598777
     -8.23823824     96.02570042
     -8.21821822     98.92131846
     -8.19819820    102.70457254
     -8.17817818    107.51443879
     -8.15815816    113.46414742
     -8.13813814    120.62243236
     -8.11811812    128.98915962
     -8.09809810    138.46800571
     -8.07807808    148.84179751
     -8.05805806    159.75844198
     -8.03803804    170.73582753
     -8.01801802    181.19172054
     -7.99799800    190.49942965
     -7.97797798    198.06296933
     -7.95795796    203.39874512
     -7.93793794    206.20684434
     -7.91791792    206.41562621
     -7.89789790    204.18876104
     -7.87787788    199.89273498
     -7.85785786    194.03241896
     -7.83783784    187.16964092
     -7.81781782    179.84266348
     -7.79779780    172.50245709
     -7.77777778    165.47570031
     -7.75775776    158.95668453
     -7.73773774    153.02319818
     -7.71771772    147.66693775
     -7.69769770    142.82790647
     -7.67767768    138.42429456
     -7.65765766    134.37324530
     -7.63763764    130.60206289
     -7.61761762    127.05238832
     -7.59759760    123.68091802
     -7.57757758    120.45949098
     -7.55755756    117.37564259
     -7.53753754    114.43309175
     -7.51751752    111.65092042
     -7.49749750    109.06064183
     -7.47747748    106.70151422
     -7.45745746    104.61554386
     -7.43743744    102.84391252
     -7.41741742    101.42580432
     -7.39739740    100.39914880
     -7.37737738     99.80142639
     -7.35735736     99.66820278
     -7.33733734    100.02785426
     -7.31731732    100.89274996
     -7.29729730    102.24915257
     -7.27727728    104.04931506
     -7.25725726    106.20905532
     -7.23723724    108.61251566
     -7.21721722    111.12355271
     -7.19719720    113.60124925
     -7.17717718    115.91619654
     -7.15715716    117.96467106
     -7.13713714    119.67916787
     -7.11711712    121.03510366
     -7.09709710    122.05409869
     -7.07707708    122.80383235
     -7.05705706    123.39345072
     -7.03703704    123.96276168
     -7.01701702    124.66385185
     -6.99699700    125.63565190
     -6.97697698    126.97490368
     -6.95695696    128.70976990
     -6.93693694    130.78356629
     -6.91691692    133.05480749
     -6.89689690    135.31593086
     -6.87687688    137.32779419
     -6.85685686    138.86216691
     -6.83683684    139.74178864
     -6.81681682    139.86821170
     -6.79679680    139.23139000
     -6.77677678    137.90045704
     -6.75675676    136.00036934
     -6.73673674    133.68229993
     -6.71671672    131.09597080
     -6.69669670    128.36981283
     -6.67667668    125.60117368
     -6.65665666    122.85531852
     -6.63663664    120.16988589
     -6.61661662    117.56117831
     -6.59659660    115.02977681
     -6.57657658    112.56459774
     -6.55655656    110.14581211
     -6.53653654    107.74757311
     -6.51651652    105.34128306
     -6.49649650    102.89953422
     -6.47647648    100.40027298
     -6.45645646     97.83039231
     -6.43643644     95.18788387
     -6.41641642     92.48180479
     -6.39639640     89.72958602
     -6.37637638     86.95164185
     -6.35635636     84.16385169
     -6.33633634     81.36920326
     -6.31631632     78.55050749
     -6.29629630     75.66634530
     -6.27627628     72.65207080
     -6.25625626     69.42674421
     -6.23623624     65.90549791
     -6.21621622     62.01541468
     -6.19619620     57.71192402
     -6.17617618     52.99231559
     -6.15615616     47.90335999
     -6.13613614     42.54114074
     -6.11611612     37.04277871
     -6.09609610     31.57139862
     -6.07607608     26.29704979
