# total density of states output by FHI-aims 
# The energy reference for this output is the average chemical potential, mu =       -4.405020 eV
#    Energy (eV)      DOS 
     -5.59497971    186.50777484
     -5.57495969    196.86004012
     -5.55493967    205.47625659
     -5.53491965    211.97192405
     -5.51489963    216.02892209
     -5.49487961    217.43646962
     -5.47485959    216.12372378
     -5.45483957    212.17623146
     -5.43481955    205.83186832
     -5.41479953    197.45663148
     -5.39477951    187.50523327
     -5.37475949    176.47449748
     -5.35473947    164.85829229
     -5.33471945    153.11118101
     -5.31469943    141.62490693
     -5.29467941    130.71838905
     -5.27465939    120.63913145
     -5.25463937    111.57243402
     -5.23461935    103.65457250
     -5.21459933     96.98680553
     -5.19457931     91.64811222
     -5.17455929     87.70550709
     -5.15453927     85.22138927
     -5.13451925     84.25766238
     -5.11449923     84.87644038
     -5.09447921     87.13716977
     -5.07445919     91.09001860
     -5.05443917     96.76542119
     -5.03441915    104.15975789
     -5.01439913    113.21741677
     -4.99437911    123.81014187
     -4.97435909    135.71578674
     -4.95433907    148.60028450
     -4.93431905    162.00832253
     -4.91429903    175.36900721
     -4.89427901    188.02178338
     -4.87425899    199.26452471
     -4.85423897    208.42040584
     -4.83421895    214.91427769
     -4.81419893    218.34480802
     -4.79417891    218.53749701
     -4.77415889    215.56672528
     -4.75413887    209.74164228
     -4.73411885    201.55899627
     -4.71409883    191.63334776
     -4.69407881    180.61928120
     -4.67405879    169.14022001
     -4.65403877    157.73473130
     -4.63401875    146.82540535
     -4.61399873    136.70955288
     -4.59397871    127.56675803
     -4.57395869    119.47656650
     -4.55393867    112.44012129
     -4.53391865    106.40153064
     -4.51389863    101.26705146
     -4.49387861     96.92186597
     -4.47385859     93.24485729
     -4.45383857     90.12144968
     -4.43381855     87.45379473
     -4.41379853     85.16703317
     -4.39377851     83.21054022
     -4.37375849     81.55405206
     -4.35373847     80.17999645
     -4.33371845     79.07456376
     -4.31369843     78.22045563
     -4.29367841     77.59358564
     -4.27365839     77.16450136
     -4.25363837     76.90353598
     -4.23361835     76.78736068
     -4.21359833     76.80417155
     -4.19357831     76.95530637
     -4.17355829     77.25237743
     -4.15353827     77.71053759
     -4.13351825     78.33976929
     -4.11349823     79.13674421
     -4.09347821     80.07971066
     -4.07345819     81.12810015
     -4.05343817     82.22733917
     -4.03341815     83.31802827
     -4.01339813     84.34755132
     -3.99337811     85.28158483
     -3.97335809     86.11304604
     -3.95333807     86.86672223
     -3.93331805     87.59896060
     -3.91329803     88.39304237
     -3.89327801     89.35186704
     -3.87325799     90.59005903
     -3.85323797     92.22745047
     -3.83321795     94.38512130
     -3.81319793     97.18396763
     -3.79317791    100.74440663
     -3.77315789    105.18467242
     -3.75313787    110.61461140
     -3.73311785    117.12230756
     -3.71309783    124.75246630
     -3.69307781    133.47815956
     -3.67305779    143.17077168
     -3.65303777    153.57584897
     -3.63301775    164.30389236
     -3.61299773    174.84394643
     -3.59297771    184.60376762
     -3.57295769    192.97402081
