#  aims_uuid : A391CB3C-1CEF-4591-A2B9-296226787F70                                
# Angular momentum resolved density for species Oas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -8.61861862        0.12456528        0.00475827        0.11549996        0.00410442        0.00018595        0.00001668
       -8.59859860        0.12666854        0.00457240        0.11779155        0.00409779        0.00018960        0.00001720
       -8.57857858        0.12724725        0.00429914        0.11867477        0.00406345        0.00019219        0.00001770
       -8.55855856        0.12659351        0.00395405        0.11842155        0.00400605        0.00019375        0.00001812
       -8.53853854        0.12506638        0.00355763        0.11736337        0.00393252        0.00019445        0.00001842
       -8.51851852        0.12300288        0.00313330        0.11580600        0.00385051        0.00019453        0.00001855
       -8.49849850        0.12064857        0.00270496        0.11396437        0.00376650        0.00019421        0.00001853
       -8.47847848        0.11812611        0.00229448        0.11193531        0.00368431        0.00019363        0.00001838
       -8.45845846        0.11544834        0.00191950        0.10971365        0.00360421        0.00019283        0.00001814
       -8.43843844        0.11256828        0.00159196        0.10724352        0.00352317        0.00019178        0.00001785
       -8.41841842        0.10944718        0.00131762        0.10448562        0.00343604        0.00019036        0.00001754
       -8.39839840        0.10611718        0.00109665        0.10147727        0.00333753        0.00018850        0.00001723
       -8.37837838        0.10271715        0.00092493        0.09836484        0.00322429        0.00018616        0.00001693
       -8.35835836        0.09949007        0.00079582        0.09539775        0.00309644        0.00018343        0.00001663
       -8.33833834        0.09674202        0.00070176        0.09288526        0.00295819        0.00018047        0.00001633
       -8.31831832        0.09477490        0.00063552        0.09112862        0.00281721        0.00017754        0.00001601
       -8.29829830        0.09381208        0.00059083        0.09034756        0.00268307        0.00017493        0.00001569
       -8.27827828        0.09393762        0.00056261        0.09062155        0.00256518        0.00017289        0.00001539
       -8.25825826        0.09506546        0.00054683        0.09186093        0.00247098        0.00017159        0.00001514
       -8.23823824        0.09694611        0.00054031        0.09381501        0.00240468        0.00017111        0.00001499
       -8.21821822        0.09920864        0.00054061        0.09611454        0.00236712        0.00017138        0.00001499
       -8.19819820        0.10142710        0.00054593        0.09833743        0.00235633        0.00017225        0.00001517
       -8.17817818        0.10319513        0.00055508        0.10008222        0.00236878        0.00017351        0.00001554
       -8.15815816        0.10419189        0.00056745        0.10103276        0.00240066        0.00017491        0.00001612
       -8.13813814        0.10422569        0.00058289        0.10100104        0.00244867        0.00017623        0.00001686
       -8.11811812        0.10324859        0.00060145        0.09994185        0.00251027        0.00017729        0.00001774
       -8.09809810        0.10134288        0.00062325        0.09793977        0.00258325        0.00017794        0.00001867
       -8.07807808        0.09868688        0.00064822        0.09517610        0.00266488        0.00017810        0.00001959
       -8.05805806        0.09551145        0.00067610        0.09188619        0.00275105        0.00017768        0.00002042
       -8.03803804        0.09205817        0.00070645        0.08831808        0.00283587        0.00017666        0.00002111
       -8.01801802        0.08854725        0.00073876        0.08470002        0.00291184        0.00017503        0.00002161
       -7.99799800        0.08515806        0.00077252        0.08122001        0.00297085        0.00017280        0.00002188
       -7.97797798        0.08202101        0.00080725        0.07801613        0.00300565        0.00017005        0.00002194
       -7.95795796        0.07921690        0.00084249        0.07517422        0.00301149        0.00016691        0.00002180
       -7.93793794        0.07677968        0.00087773        0.07272944        0.00298742        0.00016358        0.00002151
       -7.91791792        0.07470044        0.00091234        0.07066965        0.00293698        0.00016033        0.00002114
       -7.89789790        0.07293218        0.00094561        0.06894043        0.00286794        0.00015744        0.00002075
       -7.87787788        0.07139665        0.00097687        0.06745304        0.00279110        0.00015521        0.00002043
       -7.85785786        0.06999432        0.00100570        0.06609602        0.00271852        0.00015385        0.00002023
       -7.83783784        0.06861778        0.00103221        0.06475060        0.00266130        0.00015350        0.00002018
       -7.81781782        0.06716715        0.00105714        0.06330797        0.00262762        0.00015413        0.00002029
       -7.79779780        0.06556529        0.00108187        0.06168609        0.00262124        0.00015557        0.00002053
       -7.77777778        0.06377025        0.00110821        0.05984302        0.00264073        0.00015746        0.00002083
       -7.75775776        0.06178298        0.00113802        0.05778471        0.00267978        0.00015936        0.00002111
       -7.73773774        0.05964929        0.00117276        0.05556625        0.00272825        0.00016076        0.00002128
       -7.71771772        0.05745595        0.00121325        0.05328636        0.00277392        0.00016117        0.00002125
       -7.69769770        0.05532139        0.00125961        0.05107597        0.00280463        0.00016022        0.00002095
       -7.67767768        0.05338162        0.00131146        0.04908186        0.00281022        0.00015772        0.00002036
       -7.65765766        0.05177239        0.00136832        0.04744678        0.00278413        0.00015368        0.00001948
       -7.63763764        0.05060887        0.00143003        0.04628801        0.00272422        0.00014827        0.00001834
       -7.61761762        0.04996527        0.00149685        0.04567689        0.00263268        0.00014183        0.00001701
       -7.59759760        0.04985755        0.00156925        0.04562267        0.00251527        0.00013478        0.00001558
       -7.57757758        0.05023335        0.00164733        0.04606443        0.00237994        0.00012754        0.00001411
       -7.55755756        0.05097305        0.00173011        0.04687440        0.00223539        0.00012045        0.00001270
       -7.53753754        0.05190399        0.00181500        0.04787409        0.00208970        0.00011378        0.00001141
       -7.51751752        0.05282757        0.00189781        0.04886220        0.00194956        0.00010771        0.00001029
       -7.49749750        0.05355481        0.00197336        0.04964987        0.00181991        0.00010231        0.00000936
       -7.47747748        0.05394320        0.00203666        0.05009619        0.00170409        0.00009762        0.00000864
       -7.45745746        0.05392591        0.00208433        0.05013552        0.00160425        0.00009368        0.00000812
       -7.43743744        0.05352520        0.00211567        0.04978945        0.00152176        0.00009052        0.00000780
       -7.41741742        0.05284530        0.00213298        0.04915905        0.00145746        0.00008817        0.00000763
       -7.39739740        0.05204507        0.00214089        0.04839828        0.00141163        0.00008667        0.00000760
