#  aims_uuid : E4FDCE63-F4B0-4388-A6F9-5C6054C546B5                                
# Angular momentum resolved density for species Oas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.423566 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.19505300        0.36133191        0.00600673        0.35311548        0.00179303        0.00035086        0.00006581
       -4.17503298        0.36062204        0.00523669        0.35320612        0.00177236        0.00034271        0.00006416
       -4.15501296        0.35846714        0.00450070        0.35183266        0.00173922        0.00033239        0.00006216
       -4.13499294        0.35565107        0.00382881        0.34974220        0.00169890        0.00032112        0.00006004
       -4.11497292        0.35283634        0.00324192        0.34757071        0.00165587        0.00030986        0.00005798
       -4.09495290        0.35056438        0.00275030        0.34584520        0.00161353        0.00029928        0.00005608
       -4.07493288        0.34929273        0.00235344        0.34502082        0.00157434        0.00028975        0.00005439
       -4.05491286        0.34943607        0.00204170        0.34552001        0.00154002        0.00028142        0.00005292
       -4.03489284        0.35137882        0.00179910        0.34774189        0.00151188        0.00027430        0.00005166
       -4.01487282        0.35544019        0.00160697        0.35202345        0.00149088        0.00026832        0.00005057
       -3.99485280        0.36179312        0.00144750        0.35855511        0.00147751        0.00026338        0.00004963
       -3.97483278        0.37035976        0.00130648        0.36727357        0.00147158        0.00025933        0.00004880
       -3.95481276        0.38071996        0.00117487        0.37776930        0.00147184        0.00025591        0.00004804
       -3.93479274        0.39207235        0.00104884        0.38924757        0.00147588        0.00025277        0.00004729
       -3.91477272        0.40327668        0.00092879        0.40057190        0.00148013        0.00024938        0.00004647
       -3.89475270        0.41298540        0.00081763        0.41039687        0.00148029        0.00024514        0.00004547
       -3.87473268        0.41984572        0.00071900        0.41737122        0.00147194        0.00023938        0.00004418
       -3.85471266        0.42272960        0.00063577        0.42036839        0.00145139        0.00023155        0.00004250
       -3.83469264        0.42093638        0.00056928        0.41868908        0.00141641        0.00022126        0.00004035
       -3.81467262        0.41431619        0.00051906        0.41218425        0.00136669        0.00020845        0.00003773
       -3.79465260        0.40328225        0.00048318        0.40126703        0.00130398        0.00019338        0.00003468
       -3.77463258        0.38871185        0.00045877        0.38681343        0.00123176        0.00017660        0.00003130
