# total density of states output by FHI-aims 
# The energy reference for this output is the average chemical potential, mu =       -4.423566 eV
#    Energy (eV)      DOS 
     -5.57643438    215.57142600
     -5.55641436    219.89466767
     -5.53639434    221.37015723
     -5.51637432    219.92084097
     -5.49635430    215.64809710
     -5.47633428    208.82535230
     -5.45631426    199.86818749
     -5.43629424    189.28742991
     -5.41627422    177.63504795
     -5.39625420    165.45308625
     -5.37623418    153.23359704
     -5.35621416    141.39362351
     -5.33619414    130.26524406
     -5.31617412    120.09775129
     -5.29615410    111.06780547
     -5.27613408    103.29369598
     -5.25611406     96.85095645
     -5.23609404     91.78770053
     -5.21607402     88.13864804
     -5.19605400     85.93683701
     -5.17603398     85.22178554
     -5.15601396     86.04281380
     -5.13599394     88.45661851
     -5.11597392     92.51894419
     -5.09595390     98.27099527
     -5.07593388    105.72174920
     -5.05591386    114.82748444
     -5.03589384    125.46990941
     -5.01587382    137.43475005
     -4.99585380    150.39383357
     -4.97583378    163.89536599
     -4.95581376    177.36836828
     -4.93579374    190.14690866
     -4.91577372    201.51695461
     -4.89575370    210.78344365
     -4.87573368    217.34885195
     -4.85571366    220.78933137
     -4.83569364    220.91260496
     -4.81567362    217.78446144
     -4.79565360    211.71741843
     -4.77563358    203.22390361
     -4.75561356    192.94432157
     -4.73559354    181.56516505
     -4.71557352    169.74270634
     -4.69555350    158.04419232
     -4.67553348    146.91254800
     -4.65551346    136.65450630
     -4.63549344    127.44757912
     -4.61547342    119.35920425
     -4.59545340    112.37159595
     -4.57543338    106.40745670
     -4.55541336    101.35372811
     -4.53539334     97.08213517
     -4.51537332     93.46604067
     -4.49535330     90.39319447
     -4.47533328     87.77377331
     -4.45531326     85.54315737
     -4.43529324     83.65945824
     -4.41527322     82.09682548
     -4.39525320     80.83661730
     -4.37523318     79.85911149
     -4.35521316     79.13819918
     -4.33519314     78.64044045
     -4.31517312     78.32833590
     -4.29515310     78.16625553
     -4.27513308     78.12667978
     -4.25511306     78.19448530
     -4.23509304     78.36783163
     -4.21507302     78.65539756
     -4.19505300     79.07082905
     -4.17503298     79.62596457
     -4.15501296     80.32458188
     -4.13499294     81.15814381
     -4.11497292     82.10449118
     -4.09495290     83.12981520
     -4.07493288     84.19364731
     -4.05491286     85.25607875
     -4.03489284     86.28599707
     -4.01487282     87.26886879
     -3.99485280     88.21260731
     -3.97483278     89.15042848
     -3.95481276     90.14030230
     -3.93479274     91.26150135
     -3.91477272     92.60953440
     -3.89475270     94.29111007
     -3.87473268     96.42047164
     -3.85471266     99.11747224
     -3.83469264    102.50638052
     -3.81467262    106.71309748
     -3.79465260    111.85778249
     -3.77463258    118.04028909
     -3.75461256    125.31748667
     -3.73459254    133.67429304
     -3.71457252    142.99344081
     -3.69455250    153.03168468
     -3.67453248    163.41123939
     -3.65451246    173.63386080
     -3.63449244    183.12090283
     -3.61447242    191.27655964
     -3.59445240    197.56488855
     -3.57443238    201.58615431
     -3.55441236    203.13639247
     -3.53439234    202.23676817
     -3.51437232    199.12582833
     -3.49435230    194.21632199
     -3.47433228    188.02639928
     -3.45431226    181.10036127
     -3.43429224    173.93533547
     -3.41427222    166.92724792
     -3.39425220    160.34345406
     -3.37423218    154.32233231
     -3.35421216    148.89408307
     -3.33419214    144.01342569
     -3.31417212    139.59443262
     -3.29415210    135.53995595
     -3.27413208    131.76179036
     -3.25411206    128.19139817
     -3.23409204    124.78348921
     -3.21407202    121.51548772
     -3.19405200    118.38521035
     -3.17403198    115.40775699
     -3.15401196    112.61159011
     -3.13399194    110.03357974
     -3.11397192    107.71335568
     -3.09395190    105.68808765
     -3.07393188    103.98914537
     -3.05391186    102.64159660
     -3.03389184    101.66631445
     -3.01387182    101.08315482
     -2.99385180    100.91292875
     -2.97383178    101.17617845
     -2.95381176    101.88802477
     -2.93379174    103.05006026
     -2.91377172    104.64166851
     -2.89375170    106.61365061
     -2.87373167    108.88645423
     -2.85371165    111.35394309
     -2.83369163    113.89213579
     -2.81367161    116.37129131
     -2.79365159    118.66941931
     -2.77363157    120.68561317
     -2.75361155    122.35210064
     -2.73359153    123.64410800
     -2.71357151    124.58633594
     -2.69355149    125.25426030
     -2.67353147    125.76814589
     -2.65351145    126.27819934
     -2.63349143    126.94099036
     -2.61347141    127.88988937
     -2.59345139    129.20498315
     -2.57343137    130.88961852
     -2.55341135    132.86042369
     -2.53339133    134.95503323
     -2.51337131    136.95733770
     -2.49335129    138.63521274
     -2.47333127    139.78199262
     -2.45331125    140.25177122
     -2.43329123    139.98041498
     -2.41327121    138.98836764
     -2.39325119    137.36647409
     -2.37323117    135.25041468
     -2.35321115    132.79156077
     -2.33319113    130.13164319
     -2.31317111    127.38606170
     -2.29315109    124.63715594
     -2.27313107    121.93566760
     -2.25311105    119.30691902
     -2.23309103    116.75817449
     -2.21307101    114.28480839
     -2.19305099    111.87448145
     -2.17303097    109.50976977
     -2.15301095    107.17020510
     -2.13299093    104.83450318
     -2.11297091    102.48320333
     -2.09295089    100.10138859
     -2.07293087     97.68083655
     -2.05291085     95.22091180
     -2.03289083     92.72767581
     -2.01287081     90.21097261
     -1.99285079     87.67961296
     -1.97283077     85.13522360
     -1.95281075     82.56582238
     -1.93279073     79.94061261
     -1.91277071     77.20768151
     -1.89275069     74.29606134
     -1.87273067     71.12289175
     -1.85271065     67.60530204
     -1.83269063     63.67537041
     -1.81267061     59.29547212
     -1.79265059     54.47083707
     -1.77263057     49.25640369
     -1.75261055     43.75607373
     -1.73259053     38.11401507
     -1.71257051     32.49933959
     -1.69255049     27.08686921
     -1.67253047     22.03744411
     -1.65251045     17.48115997
     -1.63249043     13.50610823
     -1.61247041     10.15389346
     -1.59245039      7.42177707
     -1.57243037      5.27009974
     -1.55241035      3.63290936
     -1.53239033      2.42955212
     -1.51237031      1.57530069
     -1.49235029      0.98971913
     -1.47233027      0.60218736
     -1.45231025      0.35464632
     -1.43229023      0.20206387
     -1.41227021      0.11132899
     -1.39225019      0.05928744
     -1.37223017      0.03050504
     -1.35221015      0.01515882
     -1.33219013      0.00727253
     -1.31217011      0.00336731
     -1.29215009      0.00150425
     -1.27213007      0.00064814
     -1.25211005      0.00026928
     -1.23209003      0.00010785
     -1.21207001      0.00004163
     -1.19204999      0.00001548
     -1.17202997      0.00000555
     -1.15200995      0.00000191
     -1.13198993      0.00000064
     -1.11196991      0.00000020
     -1.09194989      0.00000006
     -1.07192987      0.00000002
     -1.05190985      0.00000001
     -1.03188983      0.00000000
     -1.01186981      0.00000000
     -0.99184979      0.00000000
     -0.97182977      0.00000000
     -0.95180975      0.00000000
     -0.93178973      0.00000000
     -0.91176971      0.00000000
     -0.89174969      0.00000000
     -0.87172967      0.00000000
     -0.85170965      0.00000000
     -0.83168963      0.00000000
     -0.81166961      0.00000000
     -0.79164959      0.00000000
     -0.77162957      0.00000000
     -0.75160955      0.00000000
     -0.73158953      0.00000000
     -0.71156951      0.00000000
     -0.69154949      0.00000000
     -0.67152947      0.00000000
     -0.65150945      0.00000000
     -0.63148943      0.00000000
     -0.61146941      0.00000000
     -0.59144939      0.00000000
     -0.57142937      0.00000000
     -0.55140935      0.00000001
     -0.53138933      0.00000004
     -0.51136931      0.00000013
     -0.49134929      0.00000042
     -0.47132927      0.00000126
     -0.45130925      0.00000364
     -0.43128923      0.00001014
     -0.41126921      0.00002717
     -0.39124919      0.00007012
     -0.37122917      0.00017431
     -0.35120915      0.00041748
     -0.33118913      0.00096354
     -0.31116911      0.00214346
     -0.29114909      0.00459716
     -0.27112907      0.00950861
     -0.25110905      0.01897319
     -0.23108903      0.03653616
     -0.21106901      0.06792872
     -0.19104899      0.12199809
     -0.17102897      0.21177852
     -0.15100895      0.35558911
     -0.13098893      0.57798734
     -0.11096891      0.91038365
     -0.09094889      1.39115726
     -0.07092887      2.06522190
     -0.05090885      2.98315327
     -0.03088883      4.20015204
     -0.01086881      5.77518997
      0.00915121      7.77059417
