#  aims_uuid : E4FDCE63-F4B0-4388-A6F9-5C6054C546B5                                
# Angular momentum resolved density for species Sas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.423566 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.89575370       69.21446893        1.50294820       64.19242252        2.87802550        0.52143325        0.11963947
       -4.87573368       71.48784673        1.48014574       66.37216284        2.96127182        0.55107063        0.12319569
       -4.85571366       72.66474745        1.43655968       67.53290299        2.99965751        0.57097059        0.12465668
       -4.83569364       72.65089459        1.37403483       67.58115130        2.99223737        0.57957852        0.12389256
       -4.81567362       71.43930832        1.29566386       66.50441474        2.94193543        0.57635963        0.12093466
       -4.79565360       69.11586785        1.20535920       64.37745493        2.85516339        0.56190688        0.11598345
       -4.77563358       65.85224635        1.10738728       61.35661428        2.74097127        0.53787912        0.10939441
       -4.75561356       61.88713407        1.00596290       57.66286469        2.60988526        0.50677864        0.10164257
       -4.73559354       57.49895458        0.90496832       53.55647088        2.47263428        0.47161013        0.09327098
       -4.71557352       52.97464524        0.80780870       49.30755857        2.33896301        0.43548386        0.08483110
       -4.69555350       48.57932104        0.71736605       45.16721362        2.21668557        0.40123131        0.07682448
       -4.67553348       44.53093998        0.63598707       41.34313649        2.11107076        0.37109178        0.06965388
       -4.65551346       40.98281484        0.56544743       37.98268008        2.02458782        0.34650964        0.06358988
       -4.63549344       38.01536621        0.50686837       35.16468983        1.95699277        0.32805895        0.05875629
       -4.61547342       35.63716464        0.46060571       32.90023045        1.90570345        0.31549066        0.05513437
       -4.59545340       33.79420012        0.42616444       31.14117817        1.86639324        0.30788069        0.05258358
       -4.57543338       32.38548312        0.40220060       29.79483676        1.83372463        0.30384637        0.05087478
       -4.55541336       31.28253225        0.38665241       28.74221421        1.80214132        0.30179403        0.04973029
       -4.53539334       30.35005079        0.37700294       27.85738214        1.76663825        0.30016197        0.04886550
       -4.51537332       29.46515373        0.37063327       27.02543114        1.72343360        0.29762915        0.04802658
       -4.49535330       28.53286657        0.36519389       26.15690954        1.67047428        0.29326874        0.04702013
       -4.47533328       27.49623256        0.35891336       25.19723351        1.60771809        0.28663540        0.04573221
       -4.45531326       26.34015944        0.35077940       24.13030599        1.53715452        0.27778430        0.04413523
       -4.43529324       25.08901649        0.34056170       22.97639076        1.46255443        0.26722641        0.04228320
       -4.41527322       23.79885510        0.32868650       21.78506576        1.38897548        0.25583063        0.04029673
       -4.39525320       22.54585692        0.31600783       20.62472983        1.32209158        0.24468714        0.03834054
       -4.37523318       21.41309372        0.30353993       19.57055857        1.26744838        0.23495019        0.03659665
       -4.35521316       20.47780760        0.29221637       18.69291038        1.22976319        0.22768056        0.03523710
