# total density of states output by FHI-aims 
# The energy reference for this output is the average chemical potential, mu =       -5.999441 eV
#    Energy (eV)      DOS 
     -0.09665549     31.90623959
     -0.07663547     26.87677789
     -0.05661545     22.08967946
     -0.03659543     17.68249129
     -0.01657541     13.76389231
      0.00344461     10.40296460
      0.02346463      7.62494240
      0.04348465      5.41368937
      0.06350467      3.71967284
      0.08352469      2.47119057
      0.10354471      1.58630049
      0.12356473      0.98327794
      0.14358475      0.58823809
      0.16360477      0.33948886
      0.18362479      0.18894404
      0.20364481      0.10137756
      0.22366483      0.05242506
      0.24368485      0.02612347
      0.26370487      0.01254120
      0.28372489      0.00579961
      0.30374491      0.00258319
      0.32376493      0.00110806
      0.34378495      0.00045771
      0.36380497      0.00018205
      0.38382499      0.00006972
      0.40384501      0.00002571
      0.42386503      0.00000912
      0.44388505      0.00000312
      0.46390507      0.00000103
      0.48392509      0.00000032
      0.50394511      0.00000010
      0.52396513      0.00000003
      0.54398515      0.00000001
      0.56400517      0.00000000
      0.58402519      0.00000000
      0.60404521      0.00000000
      0.62406523      0.00000000
      0.64408525      0.00000000
      0.66410527      0.00000000
      0.68412529      0.00000000
      0.70414531      0.00000000
      0.72416533      0.00000000
      0.74418535      0.00000000
      0.76420537      0.00000000
      0.78422539      0.00000000
      0.80424541      0.00000000
      0.82426543      0.00000000
      0.84428545      0.00000000
      0.86430547      0.00000000
      0.88432549      0.00000000
      0.90434551      0.00000000
      0.92436553      0.00000000
      0.94438555      0.00000000
      0.96440557      0.00000000
      0.98442559      0.00000000
      1.00444561      0.00000000
      1.02446563      0.00000000
      1.04448565      0.00000000
      1.06450567      0.00000001
      1.08452569      0.00000004
      1.10454571      0.00000012
      1.12456573      0.00000039
      1.14458575      0.00000117
      1.16460577      0.00000338
      1.18462579      0.00000942
      1.20464581      0.00002530
      1.22466583      0.00006545
      1.24468585      0.00016304
      1.26470587      0.00039125
      1.28472589      0.00090463
      1.30474591      0.00201561
      1.32476593      0.00432875
      1.34478595      0.00896267
      1.36480597      0.01789551
      1.38482599      0.03446772
      1.40484601      0.06406090
      1.42486603      0.11493803
      1.44488605      0.19917729
      1.46490607      0.33356779
      1.48492609      0.54028322
      1.50494611      0.84713998
      1.52496613      1.28731765
      1.54498615      1.89858685
      1.56500617      2.72233204
      1.58502619      3.80289498
      1.60504621      5.18786991
      1.62506623      6.92981920
      1.64508625      9.08937519
      1.66510627     11.73891908
      1.68512629     14.96522502
      1.70514631     18.86900132
      1.72516633     23.55951819
      1.74518635     29.14364712
      1.76520637     35.71045939
      1.78522639     43.31446767
      1.80524641     51.96186137
      1.82526643     61.60400460
      1.84528645     72.14079763
      1.86530647     83.43363399
      1.88532649     95.32454389
      1.90534651    107.65583116
      1.92536653    120.28396960
      1.94538655    133.08300816
      1.96540657    145.93581708
      1.98542659    158.71524073
      2.00544661    171.26049705
      2.02546663    183.35608582
      2.04548665    194.72059419
      2.06550667    205.01116557
      2.08552669    213.84644170
      2.10554671    220.84710137
      2.12556673    225.68934096
      2.14558675    228.16336835
      2.16560677    228.22675411
      2.18562679    226.04179063
      2.20564681    221.98724300
      2.22566683    216.63820846
      2.24568685    210.71301876
      2.26570687    204.99246544
      2.28572689    200.22281155
      2.30574691    197.01848607
      2.32576693    195.78161705
      2.34578695    196.65294132
      2.36580697    199.50252459
      2.38582699    203.96064377
      2.40584701    209.48128775
      2.42586703    215.42510700
      2.44588705    221.14653639
      2.46590707    226.07126764
      2.48592709    229.75420587
      2.50594711    231.91294176
      2.52596713    232.43621332
      2.54598715    231.37008980
      2.56600717    228.88667471
      2.58602719    225.24139693
      2.60604721    220.72579677
      2.62606723    215.62312245
      2.64608725    210.17368291
      2.66610727    204.55532773
      2.68612729    198.88151039
      2.70614731    193.21554602
      2.72616734    187.59583063
      2.74618736    182.06409614
      2.76620738    176.68816077
      2.78622740    171.57239567
      2.80624742    166.85277612
      2.82626744    162.67779371
      2.84628746    159.18033335
      2.86630748    156.44780117
      2.88632750    154.49789259
      2.90634752    153.26567120
      2.92636754    152.60481559
      2.94638756    152.30282826
      2.96640758    152.10735154
      2.98642760    151.75887842
      3.00644762    151.02423052
      3.02646764    149.72523872
      3.04648766    147.75808239
      3.06650768    145.10058651
      3.08652770    141.80712347
      3.10654772    137.99311129
      3.12656774    133.81287842
      3.14658776    129.43545854
      3.16660778    125.02258015
      3.18662780    120.71195284
      3.20664782    116.60736683
      3.22666784    112.77557391
      3.24668786    109.24873381
      3.26670788    106.03053025
      3.28672790    103.10388289
      3.30674792    100.43843184
      3.32676794     97.99654570
      3.34678796     95.73737090
      3.36680798     93.61922027
      3.38682800     91.60118372
      3.40684802     89.64504771
      3.42686804     87.71834993
      3.44688806     85.79874745
      3.46690808     83.87906260
      3.48692810     81.97169167
      3.50694812     80.11077380
      3.52696814     78.35074719
      3.54698816     76.76061316
      3.56700818     75.41419522
      3.58702820     74.37766577
      3.60704822     73.69638675
      3.62706824     73.38350903
      3.64708826     73.41271245
      3.66710828     73.71691863
      3.68712830     74.19381960
      3.70714832     74.71777857
      3.72716834     75.15634288
      3.74718836     75.38861706
      3.76720838     75.32241175
      3.78722840     74.90756294
      3.80724842     74.14396048
      3.82726844     73.08419920
      3.84728846     71.83181833
      3.86730848     70.53641221
      3.88732850     69.38641958
      3.90734852     68.59946551
      3.92736854     68.40930656
      3.94738856     69.04823814
      3.96740858     70.72449260
      3.98742860     73.59554082
      4.00744862     77.73988648
      4.02746864     83.13140749
      4.04748866     89.62114090
      4.06750868     96.93137013
      4.08752870    104.66583466
      4.10754872    112.33783025
      4.12756874    119.41503588
      4.14758876    125.37646944
      4.16760878    129.77372049
      4.18762880    132.28644375
      4.20764882    132.76189845
      4.22766884    131.23056828
      4.24768886    127.89437724
      4.26770888    123.08973844
      4.28772890    117.23311000
      4.30774892    110.76030901
      4.32776894    104.07148794
      4.34778896     97.49126317
      4.36780898     91.24884702
      4.38782900     85.47770739
      4.40784902     80.22991931
      4.42786904     75.49815781
      4.44788906     71.23852081
      4.46790908     67.38947751
      4.48792910     63.88506601
      4.50794912     60.66283343
      4.52796914     57.66818854
      4.54798916     54.85675551
      4.56800918     52.19547721
      4.58802920     49.66234303
      4.60804922     47.24426862
      4.62806924     44.93298872
      4.64808926     42.71958477
      4.66810928     40.58899587
      4.68812930     38.51615395
      4.70814932     36.46508770
      4.72816934     34.39157946
      4.74818936     32.24902440
      4.76820938     29.99633219
      4.78822940     27.60621952
      4.80824942     25.07213037
      4.82826944     22.41225954
      4.84828946     19.66968001
      4.86830948     16.90830471
      4.88832950     14.20523854
      4.90834952     11.64083893
      4.92836954      9.28831463
      4.94838956      7.20479408
      4.96840958      5.42543038
      4.98842960      3.96137135
      5.00844962      2.80152534
      5.02846964      1.91726120
      5.04848966      1.26870355
      5.06850968      0.81121008
      5.08852970      0.50089261
      5.10854972      0.29852025
      5.12856974      0.17164519
      5.14858976      0.09518213
      5.16860978      0.05088678
      5.18862980      0.02622161
      5.20864982      0.01302008
      5.22866984      0.00622841
      5.24868986      0.00286993
      5.26870988      0.00127357
      5.28872990      0.00054422
      5.30874992      0.00022391
      5.32876994      0.00008869
      5.34878996      0.00003382
      5.36880998      0.00001241
      5.38883000      0.00000438
      5.40885002      0.00000149
      5.42887004      0.00000049
      5.44889006      0.00000015
      5.46891008      0.00000005
      5.48893010      0.00000001
      5.50895012      0.00000000
      5.52897014      0.00000000
      5.54899016      0.00000000
      5.56901018      0.00000001
      5.58903020      0.00000004
      5.60905022      0.00000011
      5.62907024      0.00000036
      5.64909026      0.00000109
      5.66911028      0.00000318
      5.68913030      0.00000892
      5.70915032      0.00002410
      5.72917034      0.00006271
      5.74919036      0.00015718
      5.76921038      0.00037957
      5.78923040      0.00088328
      5.80925042      0.00198115
      5.82927044      0.00428392
      5.84929046      0.00893260
      5.86931048      0.01796562
      5.88933050      0.03486250
      5.90935052      0.06529229
      5.92937054      0.11805867
      5.94939056      0.20616909
      5.96941058      0.34786272
      5.98943060      0.56732611
      6.00945062      0.89473415
      6.02947064      1.36522097
      6.04949066      2.01645587
      6.06951068      2.88470613
      6.08953070      3.99960905
      6.10955072      5.37829779
      6.12957074      7.01992502
      6.14959076      8.90186772
      6.16961078     10.97884500
      6.18963080     13.18576603
      6.20965082     15.44437692
      6.22967084     17.67284502
      6.24969086     19.79655434
      6.26971088     21.75786429
      6.28973090     23.52261856
      6.30975092     25.08184618
      6.32977094     26.44824132
      6.34979096     27.64834460
      6.36981098     28.71249652
      6.38983100     29.66525054
      6.40985102     30.51882736
      6.42987104     31.27137228
      6.44989106     31.91045568
      6.46991108     32.42077724
      6.48993110     32.79379269
      6.50995112     33.03632015
      6.52997114     33.17531709
      6.54999116     33.25696413
      6.57001118     33.33974623
      6.59003120     33.48298216
      6.61005122     33.73370990
      6.63007124     34.11551986
      6.65009126     34.62256987
      6.67011128     35.22066808
      6.69013130     35.85535202
      6.71015132     36.46492689
      6.73017134     36.99507002
      6.75019136     37.41127676
      6.77021138     37.70618210
      6.79023140     37.90034489
      6.81025142     38.03688985
      6.83027144     38.17189113
      6.85029146     38.36314188
      6.87031148     38.65987458
      6.89033150     39.09525730
      6.91035152     39.68246713
      6.93037154     40.41422400
      6.95039156     41.26511352
      6.97041158     42.19587393
      6.99043160     43.15891855
      7.01045162     44.10448080
      7.03047164     44.98674334
      7.05049166     45.76914471
      7.07051168     46.42790930
      7.09053170     46.95293747
      7.11055172     47.34565701
      7.13057174     47.61421768
      7.15059176     47.76725677
      7.17061178     47.80803958
      7.19063180     47.73081713
      7.21065182     47.52067645
      7.23067184     47.15714921
      7.25069186     46.62072220
      7.27071188     45.90051857
      7.29073190     45.00105918
      7.31075192     43.94625517
      7.33077194     42.77952473
      7.35079196     41.55992545
      7.37081198     40.35515339
      7.39083200     39.23293044
      7.41085202     38.25254605
      7.43087204     37.45814926
      7.45089206     36.87492322
      7.47091208     36.50868537
      7.49093210     36.34887356
      7.51095212     36.37436872
      7.53097214     36.56117841
      7.55099216     36.89067831
      7.57101218     37.35693878
      7.59103220     37.97174371
      7.61105222     38.76630530
      7.63107224     39.78934796
      7.65109226     41.10200511
      7.67111228     42.77059050
      7.69113230     44.85855905
      7.71115232     47.41880041
      7.73117234     50.48693894
      7.75119236     54.07579812
      7.77121238     58.17087206
      7.79123240     62.72666051
      7.81125242     67.66403062
      7.83127244     72.86921411
      7.85129246     78.19543599
      7.87131248     83.46833380
      7.89133250     88.49615323
      7.91135252     93.08513958
      7.93137254     97.05959263
      7.95139256    100.28481665
      7.97141258    102.68990935
      7.99143260    104.28634838
      8.01145262    105.17804052
      8.03147264    105.55918554
      8.05149266    105.69801858
      8.07151268    105.90697743
      8.09153270    106.50258762
      8.11155272    107.76075203
      8.13157274    109.87461086
      8.15159276    112.92232956
      8.17161278    116.85095662
      8.19163280    121.48001502
      8.21165282    126.52513423
      8.23167284    131.63837523
      8.25169286    136.45865047
      8.27171288    140.66350612
      8.29173290    144.01307501
      8.31175292    146.37846767
      8.33177294    147.75005204
      8.35179296    148.22532930
      8.37181298    147.98045937
      8.39183300    147.23284046
      8.41185302    146.20361685
      8.43187304    145.08816244
      8.45189306    144.03967781
      8.47191308    143.16686864
      8.49193310    142.54247547
      8.51195312    142.21648654
      8.53197314    142.22713183
      8.55199316    142.60449367
      8.57201318    143.36521779
      8.59203320    144.50109902
      8.61205322    145.96765292
      8.63207324    147.67980333
      8.65209326    149.51991923
      8.67211328    151.35910418
      8.69213330    153.08734972
      8.71215332    154.64387608
      8.73217334    156.03742715
      8.75219336    157.34826112
      8.77221338    158.70861884
      8.79223340    160.26497009
      8.81225342    162.13119892
      8.83227344    164.34516795
      8.85229346    166.84072860
      8.87231348    169.44332542
      8.89233350    171.89106984
      8.91235352    173.87639768
      8.93237354    175.09813365
      8.95239356    175.31143777
      8.97241358    174.36426980
      8.99243360    172.21319476
      9.01245362    168.91719124
      9.03247364    164.61380576
      9.05249366    159.48586343
      9.07251368    153.72803623
      9.09253370    147.52089273
      9.11255372    141.01651013
      9.13257374    134.33571584
      9.15259376    127.57388200
      9.17261378    120.81073812
      9.19263380    114.11997366
      9.21265382    107.57591312
      9.23267384    101.25639619
      9.25269386     95.24241593
      9.27271388     89.61567859
      9.29273390     84.45513074
      9.31275392     79.83305122
      9.33277394     75.81096922
      9.35279396     72.43568735
      9.37281398     69.73599042
      9.39283400     67.72090148
      9.41285402     66.38027436
      9.43287404     65.68794670
      9.45289406     65.60678406
      9.47291408     66.09413428
      9.49293410     67.10592439
      9.51295412     68.59809760
      9.53297414     70.52516605
      9.55299416     72.83688270
      9.57301418     75.47484694
      9.59303420     78.37088032
      9.61305422     81.44825547
      9.63307424     84.62572906
      9.65309426     87.82336840
      9.67311428     90.96877630
      9.69313430     94.00255160
      9.71315432     96.88237182
      9.73317434     99.58552406
      9.75319436    102.10979440
      9.77321438    104.47245486
      9.79323440    106.70704323
      9.81325442    108.85808595
      9.83327444    110.97491842
      9.85329446    113.10689264
      9.87331448    115.30280467
      9.89333450    117.61667994
      9.91335452    120.11997906
      9.93337454    122.91737906
      9.95339456    126.16063555
