# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
    -10.00000000    199.86811277
     -9.97997998    207.86072195
     -9.95995996    213.64220201
     -9.93993994    216.92273186
     -9.91991992    217.53186622
     -9.89989990    215.44486341
     -9.87987988    210.79176163
     -9.85985986    203.84614723
     -9.83983984    194.99536760
     -9.81981982    184.69828744
     -9.79979980    173.43918926
     -9.77977978    161.68640231
     -9.75975976    149.86195749
     -9.73973974    138.32500875
     -9.71971972    127.36821696
     -9.69969970    117.22380820
     -9.67967968    108.07505872
     -9.65965966    100.06934911
     -9.63963964     93.33008158
     -9.61961962     87.96599910
     -9.59959960     84.07733448
     -9.57957958     81.75864535
     -9.55955956     81.09832319
     -9.53953954     82.17485383
     -9.51951952     85.05009131
     -9.49949950     89.76003382
     -9.47947948     96.30368848
     -9.45945946    104.63047876
     -9.43943944    114.62642694
     -9.41941942    126.09942225
     -9.39939940    138.76468868
     -9.37937938    152.23319672
     -9.35935936    166.00772453
     -9.33933934    179.49250060
     -9.31931932    192.02164834
     -9.29929930    202.90832843
     -9.27927928    211.51096549
     -9.25925926    217.30687038
     -9.23923924    219.95921417
     -9.21921922    219.36266089
     -9.19919920    215.65676419
     -9.17917918    209.20353520
     -9.15915916    200.53408024
     -9.13913914    190.27613006
     -9.11911912    179.07754066
     -9.09909910    167.53976535
     -9.07907908    156.17074656
     -9.05905906    145.36054838
     -9.03903904    135.37743462
     -9.01901902    126.37851284
     -8.99899900    118.42805805
     -8.97897898    111.51780536
     -8.95895896    105.58585657
     -8.93893894    100.53324261
     -8.91891892     96.23873822
     -8.89889890     92.57286408
     -8.87887888     89.41131120
     -8.85885886     86.64687688
     -8.83883884     84.19814741
     -8.81881882     82.01315275
     -8.79879880     80.06718439
     -8.77877878     78.35555361
     -8.75875876     76.88360334
     -8.73873874     75.65709295
     -8.71871872     74.67578486
     -8.69869870     73.93177125
     -8.67867868     73.41229387
     -8.65865866     73.10520362
     -8.63863864     73.00434345
     -8.61861862     73.11227515
     -8.59859860     73.43880372
     -8.57857858     73.99530411
     -8.55855856     74.78641359
     -8.53853854     75.80173416
     -8.51851852     77.01045385
     -8.49849850     78.36113716
     -8.47847848     79.78751862
     -8.45845846     81.21937197
     -8.43843844     82.59597646
     -8.41841842     83.87888267
     -8.39839840     85.06088791
     -8.37837838     86.16930750
     -8.35835836     87.26336634
     -8.33833834     88.42723138
     -8.31831832     89.76128828
     -8.29829830     91.37440704
