#  aims_uuid : C32737CD-BA41-4EDD-A1E4-9489DAF4AB0A                                
# Angular momentum resolved density for species Sas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -5.961147 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -2.23705110       28.71743707        0.54525948       26.06807239        1.72710542        0.31932167        0.05767811
       -2.21703108       29.57382920        0.60656288       26.86731720        1.71725169        0.32196840        0.06072903
       -2.19701106       30.76974802        0.68145733       27.97818859        1.71927669        0.32655038        0.06427502
       -2.17699104       32.31303203        0.77076384       29.40975364        1.73095976        0.33321833        0.06833647
       -2.15697102       34.21440321        0.87524889       31.17433577        1.74987916        0.34203616        0.07290323
       -2.13695100       36.48822276        0.99563803       33.28794078        1.77377960        0.35294279        0.07792156
       -2.11693098       39.14656242        1.13245041       35.76448552        1.80062389        0.36571579        0.08328680
       -2.09691096       42.18740856        1.28562854       38.60460740        1.82838387        0.37994602        0.08884273
       -2.07689094       45.57972698        1.45399907       41.78158207        1.85472700        0.39503126        0.09438758
       -2.05687092       49.24957395        1.63467621       45.22822081        1.87679557        0.41019574        0.09968561
       -2.03685090       53.07204651        1.82258644       48.82919196        1.89124352        0.42454081        0.10448378
       -2.01683088       56.87329973        2.01032394       52.42271068        1.89460343        0.43712887        0.10853281
       -1.99681086       60.44499464        2.18851366       55.81383702        1.88393458        0.44709688        0.11161251
       -1.97679084       63.57058579        2.34675337       58.79889207        1.85759379        0.45378731        0.11355925
       -1.95677082       66.05942153        2.47504636       61.19730008        1.81590822        0.45687461        0.11429226
       -1.93675080       67.78164662        2.56546472       62.88435528        1.76153568        0.45645824        0.11383271
       -1.91673078       68.69536954        2.61365839       63.81693931        1.69936934        0.45309288        0.11230962
       -1.89671076       68.85822929        2.61979990       64.04478876        1.63595801        0.44773489        0.10994772
       -1.87669074       68.41853578        2.58865320       63.70271040        1.57853480        0.44160122        0.10703617
       -1.85667072       67.58600884        2.52866399       62.98366345        1.53384098        0.43595850        0.10388192
       -1.83665070       66.58759743        2.45023363       62.09775149        1.50697545        0.43188046        0.10075639
       -1.81663068       65.61836238        2.36357882       61.22642294        1.50048952        0.43002438        0.09784672
       -1.79661066       64.79949212        2.27671636       60.48318252        1.51389156        0.43047807        0.09522361
       -1.77659064       64.15431782        2.19409319       59.89102853        1.54364565        0.43271661        0.09283384
       -1.75657062       63.60878758        2.11620558       59.38271714        1.58366000        0.43568420        0.09052065
       -1.73655060       63.01638001        2.04026891       58.82387758        1.62617828        0.43798783        0.08806742
       -1.71653058       62.20079184        1.96169986       58.05275575        1.66291966        0.43816178        0.08525480
       -1.69651056       61.00498693        1.87595503       56.92589896        1.68627085        0.43494485        0.08191724
       -1.67649054       59.33383623        1.78019891       55.35781856        1.69032440        0.42750867        0.07798569
       -1.65647052       57.17995843        1.67436640       53.34490698        1.67158885        0.41558947        0.07350674
       -1.63645050       54.62756707        1.56139589       50.96876831        1.62926649        0.39950104        0.06863534
       -1.61643048       51.83532328        1.44665953       48.37993248        1.56508887        0.38003782        0.06360458
       -1.59641046       49.00439462        1.33682432       45.76779032        1.48279563        0.35830284        0.05868151
       -1.57639044       46.34070484        1.23848630       43.32517870        1.38740972        0.33550997        0.05412016
       -1.55637042       44.02030388        1.15691789       41.21597319        1.28448296        0.31280801        0.05012182
       -1.53635040       42.16445899        1.09518068       39.55185340        1.17945572        0.29115962        0.04680958
