#  aims_uuid : C32737CD-BA41-4EDD-A1E4-9489DAF4AB0A                                
# Angular momentum resolved density for species Moas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -8.79879880       18.93625323        0.17712400        1.13086564       17.27590739        0.29659787        0.05575833
       -8.77877878       18.38751508        0.16699938        0.96942930       16.90229597        0.29539563        0.05339480
       -8.75875876       17.63946652        0.15520895        0.82784295       16.31573028        0.28999471        0.05068961
       -8.73873874       16.72953089        0.14240052        0.70907405       15.54965750        0.28066869        0.04773013
       -8.71871872       15.72561264        0.12932962        0.61555572       14.66783032        0.26820767        0.04468932
       -8.69869870       14.71621535        0.11675531        0.54887722       13.75498187        0.25380323        0.04179772
       -8.67867868       13.79801930        0.10535029        0.50950017       12.90497145        0.23888900        0.03930839
       -8.65865866       13.06255300        0.09563839        0.49663190       12.20786205        0.22496196        0.03745870
       -8.63863864       12.58377105        0.08796954        0.50837198       11.73758371        0.21341206        0.03643375
       -8.61861862       12.40824100        0.08253559        0.54217147       11.54181365        0.20538385        0.03633645
       -8.59859860       12.54925282        0.07942107        0.59552557       11.63545273        0.20168452        0.03716892
       -8.57857858       12.98557390        0.07867183        0.66670125       11.99863165        0.20274057        0.03882860
       -8.55855856       13.66489418        0.08035535        0.75522906       12.57959497        0.20859462        0.04112018
       -8.53853854       14.51134992        0.08458506        0.86190457       13.30214938        0.21892881        0.04378211
       -8.51851852       15.43596373        0.09148885        0.98816241       14.07668680        0.23310172        0.04652395
       -8.49849850       16.34844654        0.10111979        1.13488367       14.81318154        0.25019298        0.04906856
       -8.47847848       17.16861963        0.11332986        1.30091876       15.43412088        0.26905806        0.05119208
       -8.45845846       17.83577231        0.12764739        1.48177687       15.88519139        0.28840209        0.05275457
       -8.43843844       18.31460108        0.14320790        1.66897761       16.14181830        0.30688176        0.05371552
       -8.41841842       18.59696412        0.15877999        1.85044168       16.21037422        0.32323700        0.05413124
       -8.39839840       18.69944494        0.17290362        2.01202883       16.12393614        0.33644130        0.05413505
       -8.37837838       18.65750183        0.18412328        2.13998266       15.93364536        0.34584584        0.05390470
       -8.35835836       18.51760247        0.19126385        2.22372323       15.69770614        0.35128434        0.05362492
       -8.33833834       18.32905059        0.19367656        2.25825280       15.47056030        0.35310701        0.05345393
       -8.31831832       18.13712634        0.19138290        2.24548313       15.29463250        0.35212617        0.05350165
       -8.29829830       17.97870990        0.18506948        2.19406030       15.19627766        0.34947797        0.05382449
       -8.27827828       17.88085734        0.17592861        2.11768130       15.18638172        0.34642896        0.05443675
       -8.25825826       17.86202741        0.16538492        2.03233427       15.26480058        0.34417338        0.05533428
       -8.23823824       17.93500775        0.15478227        1.95320810       15.42682467        0.34367011        0.05652260
       -8.21821822       18.11022202        0.14511643        1.89210116       15.66940720        0.34555630        0.05804093
       -8.19819820       18.39810694        0.13688289        1.85598515       15.99511344        0.35015078        0.05997468
       -8.17817818       18.80962926        0.13007292        1.84700801       16.41256211        0.35753319        0.06245303
